total-accepted-year,832
investment-potential-month,15.0
total-all,3407
y-intercept-year,-343.07722112829418
gradient-factor-week,0.30307949735387252
uncertainty-year,0.65635854404898442
quadratic-coefficients-month,"[-7.3273681797732298e-13, 0.002331667310772488, -1854900.852135459]"
total-rejected-all,1700
quadratic-coefficients-all,"[2.6055454334070085e-15, -7.9480350497220739e-06, 6066.6890286580028]"
days-profit-month,139
value-week,19.019441650414258
value-timestamp,1591623869
id,CSGO_Weapon_Case
uncertainty-all,1193.6751250683283
days-break-even-month,28
total-month,718
days-profit-week,111
days-profit-year,695
quadratic-coefficients-year,"[2.4783754655441688e-15, -7.586795532262666e-06, 5813.2964332555403]"
uncertainty,0.30858067965803732
investment-potential,18.5
gradient-week,1.4141547220579557e-06
gradient-factor-year,0.048679598699417591
gradient-factor-month,0.24237081699544669
total-year,1282
gradient-month,1.1331846026768224e-06
days-profit-all,1196
investment-potential-week,22.0
total-week,168
total-accepted-week,166
days-break-even-week,23
value-date,08/06/2020
value-month,19.294207256374165
total-accepted-month,716
y-intercept-month,-1783.8594239116605
total-accepted-all,1707
total-rejected-week,2
days-break-even-all,247
total-rejected-month,2
days-break-even,25
quadratic-coefficients-week,"[-4.3486445861949123e-12, 0.013841470948515504, -11014120.793209041]"
value-all,16.425303252342321
gradient-all,1.3108398978807853e-07
gradient-factor-all,0.028288281036028758
name,CS:GO Weapon Case
investment-potential-all,0.0
y-intercept-week,-2231.5677843733101
gradient-factor,0.27272515717465962
url,https://steamcommunity.com/market/listings/730/CS%3AGO%20Weapon%20Case/
investment-potential-year,1.0
gradient-year,2.2557454129768598e-07
total-rejected-year,450
value,19.156824453394211
days-break-even-year,143
uncertainty-month,0.34528158919096957
days-profit,125
uncertainty-week,0.27187977012510506
y-intercept-all,-194.46871019732836
value-year,17.31746019505832
