total-accepted-year,645
investment-potential-month,0.0
total-all,1763
y-intercept-year,-18.543248848402754
gradient-factor-week,3.4437164782642289
uncertainty-year,17.077622079033898
quadratic-coefficients-month,"[2.470835248524282e-15, -7.8446604841883308e-06, 6226.522464650152]"
total-rejected-all,880
quadratic-coefficients-all,"[4.0472593850193757e-16, -1.283053084367619e-06, 1016.9010479379629]"
days-profit-month,34
value-week,0.056538473550346198
value-timestamp,1591622741
id,Clutch_Case
uncertainty-all,249.23501923559135
days-break-even-month,7
total-month,721
days-profit-week,9
days-profit-year,33
quadratic-coefficients-year,"[5.4711162614421327e-15, -1.7390655924909596e-05, 13819.641924424341]"
uncertainty,0.9023969431915837
investment-potential,12.0
gradient-week,4.6346313499464751e-08
gradient-factor-year,1.0050972179237863
gradient-factor-month,0.97238364774702757
total-year,1285
gradient-month,1.4244062683187749e-08
days-profit-all,1221
investment-potential-week,24.0
total-week,169
total-accepted-week,147
days-break-even-week,2
value-date,08/06/2020
value-month,0.056856764705475231
total-accepted-month,361
y-intercept-month,-22.616450502701728
total-accepted-all,883
total-rejected-week,22
days-break-even-all,252
total-rejected-month,360
days-break-even,4
quadratic-coefficients-week,"[5.5023435855446397e-14, -0.00017507374174305696, 139262.57988549885]"
value-all,0.040565130017700304
gradient-all,3.2201743878858077e-10
gradient-factor-all,0.027706004680372841
name,Clutch Case
investment-potential-all,0.0
y-intercept-week,-73.706794879656471
gradient-factor,2.2080500630056283
url,https://steamcommunity.com/market/listings/730/Clutch%20Case/
investment-potential-year,0.0
gradient-year,1.1681902013054527e-08
total-rejected-year,640
value,0.056697619127910714
days-break-even-year,6
uncertainty-month,1.0546117290758903
days-profit,21
uncertainty-week,0.750182157307277
y-intercept-all,-0.47826092328208053
value-year,0.048367278642456921
