total-accepted-year,939
investment-potential-month,6.0
total-all,2492
y-intercept-year,-5.1406615837771099
gradient-factor-week,0.31821006900920679
uncertainty-year,4.2164726375049764
quadratic-coefficients-month,"[-3.3266811058463389e-15, 1.0583668380377075e-05, -8417.7356489284575]"
total-rejected-all,1240
quadratic-coefficients-all,"[4.4371775047167844e-17, -1.3736530863775947e-07, 106.33986797781485]"
days-profit-month,328
value-week,0.11730832038384753
value-timestamp,1591623241
id,Operation_Wildfire_Case
uncertainty-all,289.21467352078292
days-break-even-month,67
total-month,721
days-profit-week,106
days-profit-year,294
quadratic-coefficients-year,"[2.6277998593094415e-17, -7.9783085957970902e-08, 60.532965426450836]"
uncertainty,0.32289348903259518
investment-potential,14.5
gradient-week,9.1419181482698289e-09
gradient-factor-year,0.11473584261515331
gradient-factor-month,0.10306401590089416
total-year,1285
gradient-month,2.966366445471898e-09
days-profit-all,449
investment-potential-week,23.0
total-week,169
total-accepted-week,169
days-break-even-week,21
value-date,08/06/2020
value-month,0.11694288433960176
total-accepted-month,718
y-intercept-month,-4.603483434959724
total-accepted-all,1252
total-rejected-week,0
days-break-even-all,93
total-rejected-month,3
days-break-even,44
quadratic-coefficients-week,"[-4.1752484856362849e-14, 0.00013289142476946054, -105742.87478280018]"
value-all,0.1087887743744948
gradient-all,2.1655156095007484e-09
gradient-factor-all,0.075232017706870644
name,Operation Wildfire Case
investment-potential-all,0.0
y-intercept-week,-14.431657283660588
gradient-factor,0.21063704245505047
url,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case/
investment-potential-year,0.0
gradient-year,3.3026132453396175e-09
total-rejected-year,346
value,0.11712560236172465
days-break-even-year,61
uncertainty-month,0.3782245573454035
days-profit,217
uncertainty-week,0.26756242071978681
y-intercept-all,-3.3451542907452807
value-year,0.11594743291834758
