total-accepted-year,946
investment-potential-month,0.0
total-all,1918
y-intercept-year,0.0076845808183726395
gradient-factor-week,1.4640511582286417
uncertainty-year,1.3395155828678962
quadratic-coefficients-month,"[2.1409589566038471e-15, -6.8053851500058968e-06, 5408.0282252826173]"
total-rejected-all,531
quadratic-coefficients-all,"[1.6822308921588777e-19, -5.2177709617353894e-10, 0.42780975532249954]"
days-profit-month,68
value-week,0.035360498538029805
value-timestamp,1591623429
id,Spectrum_2_Case
uncertainty-all,69.392223809578681
days-break-even-month,14
total-month,721
days-profit-week,23
days-profit-year,10000
quadratic-coefficients-year,"[9.7739514653294753e-19, -3.0709093600579065e-09, 2.4353687564901447]"
uncertainty,0.8805993083777186
investment-potential,19.0
gradient-week,1.276708378205787e-08
gradient-factor-year,0.0012320031122688587
gradient-factor-month,0.49270913524704885
total-year,1285
gradient-month,4.3051052281389986e-09
days-profit-all,10000
investment-potential-week,38.0
total-week,169
total-accepted-week,157
days-break-even-week,4
value-date,08/06/2020
value-month,0.03371965237602681
total-accepted-month,587
y-intercept-month,-6.8198720303227658
total-accepted-all,1387
total-rejected-week,12
days-break-even-all,10000
total-rejected-month,134
days-break-even,9
quadratic-coefficients-week,"[-1.4266428531694287e-14, 4.5417490120720514e-05, -36146.86063715435]"
value-all,0.027926963804367447
gradient-all,3.246913256697386e-12
gradient-factor-all,0.00040320044161988334
name,Spectrum 2 Case
investment-potential-all,0.0
y-intercept-week,-20.284754826980059
gradient-factor,0.97838014673784524
url,https://steamcommunity.com/market/listings/730/Spectrum%202%20Case/
investment-potential-year,0.0
gradient-year,9.9211380360773151e-12
total-rejected-year,339
value,0.034540075457028308
days-break-even-year,5681
uncertainty-month,1.142014003450958
days-profit,45
uncertainty-week,0.61918461330447916
y-intercept-all,0.018216986319721285
value-year,0.027972167866301731
