total-accepted-year,903
investment-potential-month,23.0
total-all,2100
y-intercept-year,-10.638814010478157
gradient-factor-week,0.12383690993162283
uncertainty-year,8.7551036943715026
quadratic-coefficients-month,"[-9.2616084415457293e-16, 2.9608291280704891e-06, -2366.1661218578543]"
total-rejected-all,1050
quadratic-coefficients-all,"[1.0143914567532933e-15, -3.2125433810202215e-06, 2543.5830273080833]"
days-profit-month,80
value-week,0.14639203235941664
value-timestamp,1591622679
id,Spectrum_Case
uncertainty-all,351.53582767312139
days-break-even-month,16
total-month,721
days-profit-week,273
days-profit-year,177
quadratic-coefficients-year,"[1.2628102953411279e-16, -3.9362141096697618e-07, 306.73098981500448]"
uncertainty,0.32321416391166491
investment-potential,16.0
gradient-week,4.5560087641451118e-09
gradient-factor-year,0.19085931440129539
gradient-factor-month,0.42009939317715816
total-year,1285
gradient-month,1.5114013518575404e-08
days-profit-all,277
investment-potential-week,9.0
total-week,169
total-accepted-week,169
days-break-even-week,56
value-date,08/06/2020
value-month,0.1470116501007907
total-accepted-month,703
y-intercept-month,-23.906766823821478
total-accepted-all,1050
total-rejected-week,0
days-break-even-all,57
total-rejected-month,18
days-break-even,36
quadratic-coefficients-week,"[5.7197812448703705e-14, -0.00018203406769182041, 144832.61106934428]"
value-all,0.12967842176804828
gradient-all,4.318713503424082e-09
gradient-factor-all,0.12177655858319644
name,Spectrum Case
investment-potential-all,0.0
y-intercept-week,-7.1069785404806689
gradient-factor,0.27196815155439047
url,https://steamcommunity.com/market/listings/730/Spectrum%20Case/
investment-potential-year,0.0
gradient-year,6.7686811644952717e-09
total-rejected-year,382
value,0.14670184123010366
days-break-even-year,36
uncertainty-month,0.43486547729484049
days-profit,176
uncertainty-week,0.2115628505284893
y-intercept-all,-6.7573754069096736
value-year,0.13866494437967619
