total-accepted-year,659
investment-potential-month,12.0
total-all,3283
y-intercept-year,-7.3049684670741
gradient-factor-week,0.69077017076049374
uncertainty-year,0.8317412069853134
quadratic-coefficients-month,"[-6.5171505430287717e-14, 0.00020747234552149563, -165118.71047746777]"
total-rejected-all,1640
quadratic-coefficients-all,"[2.0844593604597751e-17, -5.44297172278877e-08, 35.704068514549235]"
days-profit-month,110
value-week,2.5048065895263676
value-timestamp,1591624057
id,Winter_Offensive_Weapon_Case
uncertainty-all,13.589683666943625
days-break-even-month,22
total-month,721
days-profit-week,48
days-profit-year,3531
quadratic-coefficients-year,"[7.2505222468413064e-17, -2.2363234411345001e-07, 174.03829362076314]"
uncertainty,0.46179168487646949
investment-potential,29.0
gradient-week,4.2025107741144796e-07
gradient-factor-year,0.0095792572954019224
gradient-factor-month,0.30638431851222547
total-year,1285
gradient-month,1.8954431024751198e-07
days-profit-all,2610
investment-potential-week,46.0
total-week,169
total-accepted-week,168
days-break-even-week,10
value-date,08/06/2020
value-month,2.5014721736964738
total-accepted-month,664
y-intercept-month,-299.17350803748252
total-accepted-all,1643
total-rejected-week,1
days-break-even-all,540
total-rejected-month,57
days-break-even,16
quadratic-coefficients-week,"[8.4866569643471736e-13, -0.0027005525075743078, 2148370.0348360976]"
value-all,2.0685813478659174
gradient-all,7.72386642874411e-09
gradient-factor-all,0.012962347039241255
name,Winter Offensive Weapon Case
investment-potential-all,0.0
y-intercept-week,-666.32238808119291
gradient-factor,0.49857724463635961
url,https://steamcommunity.com/market/listings/730/Winter%20Offensive%20Weapon%20Case/
investment-potential-year,0.0
gradient-year,5.7079866487348657e-09
total-rejected-year,626
value,2.5031393816114207
days-break-even-year,730
uncertainty-month,0.58979678735934238
days-profit,79
uncertainty-week,0.3337865823935966
y-intercept-all,-10.558824621131075
value-year,2.0912545562209846
