total-accepted-year,896
investment-potential-month,4.0
total-all,2723
y-intercept-year,6.2579083720512658
gradient-factor-week,0.60086677586280413
uncertainty-year,0.53648961713782961
quadratic-coefficients-month,"[3.4214693787881203e-13, -0.0010879665089707769, 864898.46568007581]"
total-rejected-all,1360
quadratic-coefficients-all,"[4.0736589775074624e-16, -1.1692430988813848e-06, 843.27513898615257]"
days-profit-month,472
value-week,14.222041050507336
value-timestamp,1591623807
id,eSports_2013_Case
uncertainty-all,770.60086765817005
days-break-even-month,97
total-month,447
days-profit-week,56
days-profit-year,10000
quadratic-coefficients-year,"[9.479402687512128e-16, -2.9844656817358877e-06, 2362.0561711340647]"
uncertainty,0.33423098320949129
investment-potential,23.5
gradient-week,2.0740315348140141e-06
gradient-factor-year,0.0012578897994452941
gradient-factor-month,0.071553615709632701
total-year,933
gradient-month,2.4771194264237464e-07
days-profit-all,1394
investment-potential-week,43.0
total-week,97
total-accepted-week,96
days-break-even-week,11
value-date,08/06/2020
value-month,13.95420287934996
total-accepted-month,440
y-intercept-month,-380.31268975229261
total-accepted-all,1363
total-rejected-week,1
days-break-even-all,288
total-rejected-month,7
days-break-even,54
quadratic-coefficients-week,"[-6.3840186262162597e-12, 0.02031980403703838, -16169050.266116781]"
value-all,13.620174727036936
gradient-all,8.3666197043717358e-08
gradient-factor-all,0.024257784790478312
name,eSports 2013 Case
investment-potential-all,0.0
y-intercept-week,-3286.5383981534624
gradient-factor,0.33621019578621841
url,https://steamcommunity.com/market/listings/730/eSports%202013%20Case/
investment-potential-year,0.0
gradient-year,4.3385188189558881e-09
total-rejected-year,37
value,14.088121964928648
days-break-even-year,5564
uncertainty-month,0.38458933051119881
days-profit,264
uncertainty-week,0.28387263590778383
y-intercept-all,-119.83079267337153
value-year,13.534860834914785
