total-accepted-year,740
investment-potential-month,21.0
total-all,3079
y-intercept-year,-35.031451340368832
gradient-factor-week,0.46418290150540636
uncertainty-year,0.94969023214647796
quadratic-coefficients-month,"[1.359522977206546e-13, -0.0004321365380569864, 343397.54784783249]"
total-rejected-all,1530
quadratic-coefficients-all,"[1.0049913015031567e-16, -2.9370258578565821e-07, 214.26905663184417]"
days-profit-month,67
value-week,1.9804401942963419
value-timestamp,1591624245
id,eSports_2014_Summer_Case
uncertainty-all,202.20623385753024
days-break-even-month,13
total-month,721
days-profit-week,72
days-profit-year,713
quadratic-coefficients-year,"[2.5298802566274478e-16, -7.7446980307063249e-07, 593.24889562534645]"
uncertainty,0.54376458268672634
investment-potential,21.5
gradient-week,2.1987803032036592e-07
gradient-factor-year,0.047450964124156406
gradient-factor-month,0.50288529157078565
total-year,1285
gradient-month,2.4225741471262051e-07
days-profit-all,860
investment-potential-week,22.0
total-week,169
total-accepted-week,157
days-break-even-week,15
value-date,08/06/2020
value-month,1.932854329130655
total-accepted-month,651
y-intercept-month,-383.65781159851292
total-accepted-all,1549
total-rejected-week,12
days-break-even-all,178
total-rejected-month,70
days-break-even,14
quadratic-coefficients-week,"[-2.2764825169454151e-12, 0.0072453571058528274, -5764944.4391463576]"
value-all,1.6302512901603414
gradient-all,1.8978134532950549e-08
gradient-factor-all,0.039306084461413177
name,eSports 2014 Summer Case
investment-potential-all,0.0
y-intercept-week,-347.91077392905839
gradient-factor,0.48353409653809598
url,https://steamcommunity.com/market/listings/730/eSports%202014%20Summer%20Case/
investment-potential-year,0.0
gradient-year,2.2910722174591116e-08
total-rejected-year,545
value,1.9566472617134985
days-break-even-year,147
uncertainty-month,0.56351657958126411
days-profit,69
uncertainty-week,0.52401258579218857
y-intercept-all,-28.892198637399005
value-year,1.690212790664237
